"ID VZ","Název VZ","Datum vytvoreni","Datum uzavření smlouvy","Smluvní cena bez dph","Úředni název ""dodavatele","IČO"
T004/16V/00042348,"1. část RD (TM) – ""Dodávky denního tisku a periodik",2016-11-08 09:36:36.696,2016-12-29 00:00:00,631948.00,,
T004/16V/00046235,"RD - Poskytování stravovacích služeb na rok 2017  II",2016-12-06 08:30:56.324,2016-12-28 00:00:00,1999999.00,,
T004/16V/00046248,"RD - praní a chem. čištění pro Plzeň",2016-12-06 09:20:25.625,2016-12-28 00:00:00,35.50,,
T004/16V/00041205,"PS 0006 - Zajištění servisu regálového systému BEG MOBIL v budově č. 2 areálu Kasárna 17.listopadu Ruzyně",2016-11-01 14:36:31.311,2016-12-28 00:00:00,312144.00,"Jaroslav Baščík",87345994
T004/16V/00046877,"Venkovní údržba - AHNM Brno - oblast Hostašovice",2016-12-09 12:50:04.659,2016-12-28 00:00:00,589537.50,"Bartoň a Partner s.r.o.",26810093
T004/16V/00046571,"RD - Nákup PHM prostřednictvím odběrových karet 2017",2016-12-08 06:05:03.515,2016-12-28 00:00:00,0.00,,
T004/16V/00046539,"RD - Stravovací poukázky 2017 ",2016-12-07 14:42:11.265,2016-12-28 00:00:00,130.00,,
T004/16V/00045676,"RS - na dodávky kapalného dusíku v roce 2017",2016-12-01 10:29:03.651,2016-12-28 00:00:00,2970.00,,
T004/16V/00048202,"RS - Svoz, praní a čištění prádla pro VZ 6848 Hlučín v období od 1.1.-31.12.2016. ",2016-12-28 09:41:15.184,2016-12-28 00:00:00,2185.60,"AD 7, spol. s r.o.",25598074
T004/16V/00048084,"DP - Nákup PHM prostřednictvím odběrových karet",2016-12-22 14:03:53.455,2016-12-27 00:00:00,18181.00,"CCS Česká společnost pro platební karty s.r.o.",27916693
T004/16V/00046245,"RD - praní a chem. čištění pro LBC a Harrachov",2016-12-06 09:13:28.235,2016-12-23 00:00:00,197215.00,,
T004/16V/00046073,"DP: Nákup pohonného plynu (LPG), pronájem klece na uskladnění lahví a pronájem samotných lahví (10.DP)",2016-12-05 10:39:17.473,2016-12-23 00:00:00,1577.40,"Flaga s.r.o.",47917091
T004/16V/00044923,"RS na rok 2017 na dodávky beraní a koňské krve",2016-11-25 11:14:53.856,2016-12-23 00:00:00,68010.00,,
T004/16V/00042659,"Znalecký posudek k posouzení nabídkové ceny na VZ - Laserový ozařovací a průzkumný kontejner - nákup",2016-11-09 11:40:40.23,2016-12-23 00:00:00,18500.00,"Václav Matoušek Ing.",61843547
T004/16V/00044826,"RS - pronájem tlakových lahví a nákup technických a speciálních plynů",2016-11-24 19:59:54.974,2016-12-23 00:00:00,61048.85,,
T004/16V/00044825,"RS - praní, čištění a mandlování prádla pro Prahu a České Budějovice ",2016-11-24 19:59:12.095,2016-12-23 00:00:00,74783.00,,
T004/16V/00046166,"RD - Nákup stravovacích poukázek v roce 2017 ",2016-12-05 14:40:35.925,2016-12-23 00:00:00,0.00,,
T004/16V/00045741,"PS 0112 - Oprava systému pro řízení překážkového osvětlení na letišti Čáslav, 6440-0112-2016-106 ",2016-12-01 14:19:09.891,2016-12-23 00:00:00,1155000.00,"ES Engineering & Services ",4016165
T004/16V/00040909,"RD - Zabezpečení praní prádla, oděvů a výstrojních součástek v roce 2017",2016-10-31 12:37:37.231,2016-12-23 00:00:00,150000.00,,
T004/16V/00040928,"RD - Odvoz a odstranění nebezpečných, ostatních a biologicky rozložitelných odpadů v roce 2017",2016-10-31 13:06:20.583,2016-12-23 00:00:00,150000.00,,
T004/16V/00045571,"RS Servisní prohlídky a opravy osobních vozidel",2016-11-30 14:54:53.604,2016-12-22 00:00:00,165289.00,,
T004/16V/00045443,"PS 0004 - Kasárna Kbely - oprava střechy garáží",2016-11-30 08:42:54.485,2016-12-22 00:00:00,951679.00,"RYTA s.r.o.",26354870
T004/16V/00045519,"RS Zabezpečení přeprav osob mikrobusem",2016-11-30 12:08:21.462,2016-12-22 00:00:00,289256.00,,
T004/16V/00045225,"Rámcová dohoda o poskytnutí odběrových karet na pohonné hmoty v roce 2017",2016-11-29 07:18:06.447,2016-12-22 00:00:00,0.00,,
T004/16V/00046957,"Stravenky 2017",2016-12-12 08:02:59.75,2016-12-22 00:00:00,70000.00,,
T004/16V/00045167,"PS 0228 - Komunální odpady u PS 0228 Boletice, 6440-0228-2016-123",2016-11-28 14:24:18.011,2016-12-22 00:00:00,415740.00,"FCC Česká republika, s.r.o.",45809712
T004/16V/00046963,"Podpora tiskového stroje CANON iPC6010",2016-12-12 08:16:07.107,2016-12-22 00:00:00,1652892.56,,
T004/16V/00048013,"AHNM OdP FM - Havarijní oprava napájecího zdroje  - Praha",2016-12-21 12:50:06.272,2016-12-22 00:00:00,9046.00,"Trade FIDES, a.s.",61974731
T004/16V/00018860,"Knihovnický SW Verbis",2016-05-23 15:15:05.744,2016-12-22 00:00:00,286725.00,"KP-SYS spol. s r.o.",64824390
T004/16V/00048088,"výzva leden RD - psychologické služby Plzeň",2016-12-22 14:44:57.38,2016-12-22 00:00:00,6000.00,"Opelka Stanislav Psychologické služby a poradenství",86796372
T004/16V/00048204,"RS - Laboratorní veterinární vyšetření vzorků zvěře u SVÚ v období od 15.9.2016-15.8.2017.",2016-12-28 09:51:15.193,2016-12-22 00:00:00,780.00,"Státní veterinární ústav Praha",19305
T004/16V/00044356,"RD - na nákup léčivých přípravků na rok 2017",2016-11-22 12:33:16.082,2016-12-21 00:00:00,400000.00,,
T004/16V/00045572,"RS Servisní prohlídky a opravy IVECO",2016-11-30 14:55:19.326,2016-12-21 00:00:00,33057.00,,
T004/16V/00045577,"RS - Nákup PHM prostřednictvím odběrových karet",2016-11-30 15:15:57.798,2016-12-21 00:00:00,247933.00,,
T004/16V/00045101,"RD - Praní a čištění prádla na rok 2017  II",2016-11-28 11:31:57.852,2016-12-21 00:00:00,50000.00,,
T004/16V/00045220,"PS 0507 - Odvoz a likvidace SKO a TKO, 6440-0507-2017-1",2016-11-29 06:52:25.456,2016-12-21 00:00:00,263211.21,"Marius Pedersen a.s.",42194920
T004/16V/00047733,"Specializační vzdělávání - Intenzivní péče",2016-12-19 10:26:24.198,2016-12-21 00:00:00,29042.00,"Národní centrum ošetřovatelství a nelékařských zdravotnických oborů",23850
T004/16V/00046167,"RS Ověření přístrojů Drager 7410,7510",2016-12-05 14:41:31.06,2016-12-21 00:00:00,92220.00,,
T004/16V/00047664,"DP - Odvoz a likvidace odpadů v kuchyňském bloku v roce 2017 - leden",2016-12-16 14:03:41.428,2016-12-21 00:00:00,9917.36,"Služby Morava s.r.o.",2279401
T004/16V/00048024,"RS-Laboratorní veterinární vyšetření u SVÚ od 1.1.-31.12.2016.",2016-12-21 13:55:33.312,2016-12-21 00:00:00,3000.00,"STÁTNÍ VETERINÁRNÍ ÚSTAV JIHLAVA",13691554
T004/16V/00046621,"RS zabezpečení služby závodního stravování formou stravovacích poukázek",2016-12-08 09:45:50.928,2016-12-21 00:00:00,70.00,,
T004/16V/00036649,"PS 0135 - oprava nepřetržitého napájení-nerušenka",2016-10-06 09:48:31.143,2016-12-21 00:00:00,1808354.00,"ALTRON, a.s.",64948251
T004/16V/00045518,"RS Zabezpečení přeprav osob autobusem",2016-11-30 12:06:45.187,2016-12-20 00:00:00,165289.00,,
T004/16V/00045520,"RS Zabezpečení přeprav materiálu",2016-11-30 12:09:01.103,2016-12-20 00:00:00,247933.00,,
T004/16V/00045707,"Nákup PH prostřednictvím odběrových karet v roce 2017",2016-12-01 12:19:57.41,2016-12-20 00:00:00,142200.00,,
T004/16V/00046087,"Nákup sbírkových předmětů",2016-12-05 11:47:38.761,2016-12-20 00:00:00,800.00,"MgA. Květoslava Šamajová",0
T004/16V/00042304,"AHNM-OPNI-PS 0014 - Nákup chemikálií na rok 2017",2016-11-08 08:25:44.003,2016-12-20 00:00:00,223800.00,"INCHEMA s.r.o.",64939014
T004/16V/00047304,"Nákup sbírkových předmětů",2016-12-14 07:21:00.22,2016-12-20 00:00:00,19400.00,"Mgr. Jana Krausová",74592165
T004/16V/00047303,"Nákup sbírkových předmětů",2016-12-14 07:15:02.909,2016-12-20 00:00:00,650000.00,"Jakub Zeman",0
T004/16V/00047305,"Nákup sbírkových předmětů",2016-12-14 07:26:45.262,2016-12-20 00:00:00,14900.00,"Jakub Malovaný",63962977
T004/16V/00044828,"RS - rámcová  smlouva - Odvoz a likvidace odpadů v kuchyňském bloku v roce 2017",2016-11-24 20:45:20.652,2016-12-20 00:00:00,99173.55,,
T004/16V/00047830,"RS-Opravy, servisní prohlídky, ME, STK a pneu práce na vozidle ŠKODA u VVS Hranice na Moravě.",2016-12-20 06:35:14.158,2016-12-20 00:00:00,1182.00,"Jiří Dolejš - Autoopravna",10641785
T004/16V/00026094,"Nákup licencí antivirového SW McAfee s podporou",2016-07-21 11:13:33.136,2016-12-20 00:00:00,4939700.00,"S&T CZ s.r.o.",44846029
T004/16V/00048046,"výzva leden RD - fyzioterapeutické služby - Plzeň",2016-12-22 07:54:53.31,2016-12-20 00:00:00,8000.00,"Hana Krejčová",67881734
T004/16V/00045186,"Stravování cvičících vojsk  a celodenní směny formou smluvního stravování na rok 2017",2016-11-28 15:06:09.978,2016-12-20 00:00:00,1999999.99,,
T004/16V/00046298,"Nákup sbírkových předmětů",2016-12-06 11:00:47.741,2016-12-19 00:00:00,3800.00,"Martin Barchánek",0
T004/16V/00046311,"Nákup sbírkových předmětů",2016-12-06 11:14:07.798,2016-12-19 00:00:00,4500.00,"Jasoň Šilhan",0
T004/16V/00046318,"Nákup sbírkových předmětů",2016-12-06 11:25:59.999,2016-12-19 00:00:00,9000.00,"Pavel Anděl",0
T004/16V/00045492,"Nákup sbírkových předmětů",2016-11-30 10:51:53.435,2016-12-19 00:00:00,24793.39,"HPH models, s.r.o.",27221334
T004/16V/00046851,"JN - Zabezpečení ubytování, stravování při MČR v atletice v Třinci pro ASO DUKLA atletiky ve dnech 9. 6. – 11. 6. 2017",2016-12-09 11:27:26.579,2016-12-19 00:00:00,125130.43,"TENIS HOTEL VITALITY, a.s.",28602765
T004/16V/00043329,"PS 0006 - Porevizní opravy stavebních objektů v areálech v péči PS 0006 Praha - elektroinstalace",2016-11-14 13:04:06.204,2016-12-19 00:00:00,983245.00,"K+H stav Praha, s.r.o.",28501101
T004/16V/00046504,"Nákup sbírkových předmětů",2016-12-07 13:07:00.061,2016-12-19 00:00:00,399000.00,"Pavel Kalina",0
T004/16V/00045667,"Nákup Wi-Fi access pointů ",2016-12-01 10:04:09.102,2016-12-19 00:00:00,48090.00,"K-net Technical International Group, s.r.o.",47916745
T004/16V/00042651,"Nákup hygienických potřeb",2016-11-09 11:29:01.544,2016-12-19 00:00:00,25579.00,"FROS ZPS s.r.o.",26803291
T004/16V/00045568,"Vstupenky do multikina ",2016-11-30 14:38:14.577,2016-12-19 00:00:00,45205.22,"CineStar s.r.o.",26435675
T004/16V/00045221,"Nákup sbírkových předmětů",2016-11-29 07:00:45.936,2016-12-19 00:00:00,405000.00,"Milan Benda",0
T004/16V/00046104,"Nákup sbírkových předmětů",2016-12-05 12:24:22.445,2016-12-19 00:00:00,428000.00,"Doc. Ing. Břetislav Benda, DrSc.",0
T004/16V/00047189,"Nákup sbírkových předmětů",2016-12-13 10:05:17.133,2016-12-19 00:00:00,491754.00,"České dráhy, a.s.",70994226
T004/16V/00047249,"Nákup náhradních dílů na automobily Škoda – Fabia, Octavia, Felicia - 5. dílčí plnění",2016-12-13 14:02:01.577,2016-12-19 00:00:00,17977.69,"TýnKa s.r.o.",28825969
T004/16V/00047294,"Nákup sbírkových předmětů",2016-12-14 06:49:40.949,2016-12-19 00:00:00,139008.26,"B.V.S. spol. s r.o.",49550292
T004/16V/00047290,"Nákup sbírkových předmětů",2016-12-14 06:19:33.115,2016-12-19 00:00:00,95000.00,"Petr Alois Čihák",0
T004/16V/00047296,"Nákup sbírkových předmětů",2016-12-14 06:55:28.43,2016-12-19 00:00:00,307438.02,"ANTIKVITY PRAHA s.r.o.",26127652
T004/16V/00047298,"Nákup sbírkových předmětů",2016-12-14 07:00:53.419,2016-12-19 00:00:00,23100.00,"Martin Barchánek",0
T004/16V/00047299,"Nákup sbírkových předmětů",2016-12-14 07:05:52.396,2016-12-19 00:00:00,3500.00,"Ing. Markéta Trnková",0
T004/16V/00047770,"RS-Svoz a likvidace nebezpečného a obyčejného odpadu v roce 2016 pro VZ 6848 Hlučín.",2016-12-19 12:32:34.442,2016-12-19 00:00:00,579.00,"SUEZ Využití zdrojů a.s.",25638955
T004/16V/00047624,"Plnění z RSoPS 8/46/539/2016-1373, obj 1138 Letenky na rok 2017",2016-12-16 10:37:55.083,2016-12-19 00:00:00,1239851.00,"AEROVIA z.s.",26527758
T004/16V/00045288,"  Nákup ocelových lahví a dýchacích přístrojů pro hasiče",2016-11-29 10:18:33.947,2016-12-19 00:00:00,180749.70,"Dräger Safety s.r.o.",26700778
T004/16V/00047772,"RS - Servis, opravy a pneu práce na vozidlech ŠKODA a vybraných typech v období od 11/2016-10/2017.",2016-12-19 12:48:16.225,2016-12-19 00:00:00,3310.50,"BestCarServis s.r.o.",4967968
T004/16V/00047614,"DP č. 11 - výzva k plnění na základě RS č. 784/5/7/2016-8660 praní, chemické čištění a drobné opravy prádla pro VÚ 8660 Vyškov",2016-12-16 09:40:39.775,2016-12-19 00:00:00,33884.30,"VÍT SPÁČIL - prádelny a čistírny, spol. s r.o.",49450166
T004/16V/00047006,"Nákup Wi-Fi aktivních AC prvků",2016-12-12 10:07:36.625,2016-12-19 00:00:00,37785.00,"K-net Technical International Group, s.r.o.",47916745
T004/16V/00045232,"RS -  Stravovací poukázky na rok 2017",2016-11-29 07:51:46.881,2016-12-19 00:00:00,0.00,,
T004/16V/00042841,"PS 0014 DS Servis čističek odpadních vod REBEKA 03 Kasárna G.Píky, Praha 6",2016-11-10 09:31:50.149,2016-12-16 00:00:00,146610.00,"T O P O , s.r.o.",60472391
T004/16V/00044902,"PS 0228 - Projektová dokumentace opravy vnitřního rozvodu elektřiny věž Jablonec, 6440-0228-2016-104",2016-11-25 10:18:06.904,2016-12-16 00:00:00,31200.00,"PRUKON",47674237
T004/16V/00041655,"RD - Umývání jídelního kuchyňského nádobí a zařízení pro rok 2017",2016-11-03 10:59:04.955,2016-12-16 00:00:00,816000.00,"CZECHOSLOVAK REAL (CZ), s.r.o.",28493214
T004/16V/00046572,"RD - Nákup stravovacích poukázek 2017",2016-12-08 06:06:10.598,2016-12-16 00:00:00,0.00,,
T004/16V/00046035,"Nákup jídelních kuponů v roce 2017",2016-12-05 09:00:16.138,2016-12-16 00:00:00,160000.00,,
T004/16V/00047491,"DP Nákup léčivých přípravků č.5, plnění z RS na r. 2016",2016-12-15 10:56:42.448,2016-12-16 00:00:00,5111.41,"Arlego s.r.o.",27988929
T004/16V/00047560,"plnění z RS - fyzioterapeutická péče - leden 2017, výzva 543-1/2017",2016-12-15 15:26:07.113,2016-12-16 00:00:00,13600.00,"Kateřina Jana Šustrová",2395495
T004/16V/00046489,"Nákup lodních pytlů 40L",2016-12-07 11:51:20.675,2016-12-16 00:00:00,16374.80,"HIKO Sport s.r.o.",25059262
T004/16V/00047594,"RS-Laboratorní veterinární vyšetření u SVÚ na období od 1.1.-31.12.2016.",2016-12-16 08:35:58.952,2016-12-16 00:00:00,3850.00,"Státní veterinární ústav Olomouc",13642103
T004/16V/00047599,"Objednávka č. 54 - Stěhovací služby",2016-12-16 09:02:59.723,2016-12-16 00:00:00,26820.00,"VV TOP s.r.o.",49977202
T004/16V/00047602,"RS - Laboratorní veterinární vyšetření vzorků zvěře u SVÚ v období od 15.9.2016-15.8.2017.",2016-12-16 09:07:08.039,2016-12-16 00:00:00,4800.00,"Státní veterinární ústav Praha",19305
T004/16V/00047584,"Nákup podlážek pod stan-plastových dlaždic",2016-12-16 07:19:15.02,2016-12-16 00:00:00,57645.00,"TenTex line s.r.o.",5462711
T004/16V/00047746,"výzva č. 1137 - lyžařské vosky SKI GO",2016-12-19 10:59:06.429,2016-12-16 00:00:00,40550.00,"Radim Nyč",48274232
T004/16V/00047761,"Nákup potravin na Ukončení a vyhodnocení roku 2016 konaný dne 16.12.2016",2016-12-19 11:39:37.592,2016-12-16 00:00:00,14913.04,"ARAMARK s.r.o.",45794707
T004/16V/00044328,"PS 0217 - Odvoz a likvidace směsného komunálního odpadu z objektu Javorová Skála, 6440-0217-2016-47",2016-11-22 10:48:30.095,2016-12-15 00:00:00,15696.00,"Ekoprim s.r.o.",25174959
T004/16V/00044355,"Nákup sbírkových předmětů",2016-11-22 12:31:51.02,2016-12-15 00:00:00,19590.91,"C.I.D Praha s.r.o.",65414128
T004/16V/00045497,"Nákup sbírkových předmětů",2016-11-30 11:01:27.234,2016-12-15 00:00:00,2000.00,"Jiří Špás",0
T004/16V/00043057,"RD - Servis, údržba a opravy služebních vozidel na rok 2017",2016-11-11 10:21:33.124,2016-12-15 00:00:00,124000.00,,
T004/16V/00045666,"RS - Komplexní ověření, revize, seřízení a kalibrace speciální vojenské techniky",2016-12-01 10:01:49.99,2016-12-15 00:00:00,1044225.00,,
T004/16V/00042926,"Servisní prohlídka myčky Elektrolux WT60",2016-11-10 13:18:08.39,2016-12-15 00:00:00,32900.00,"TULI - FORM s.r.o.",26492369
T004/16V/00047041,"Plnění z RSoD č.8/46/21/2016-1373, obj.č.418/2016, servis ŠKODA a VW Prostějov",2016-12-12 11:13:00.712,2016-12-15 00:00:00,3972.72,"AUTO Hlaváček a.s.",65138180
T004/16V/00046095,"Nákup sbírkových předmětů",2016-12-05 12:10:31.685,2016-12-15 00:00:00,1000.00,"Eliška Doležalová",0
T004/16V/00047292,"Nákup sbírkových předmětů",2016-12-14 06:44:50.631,2016-12-15 00:00:00,235000.00,"Karel Adamec",0
T004/16V/00047301,"Nákup sbírkových předmětů",2016-12-14 07:10:22.31,2016-12-15 00:00:00,13000.00,"Jan Tupý",0
T004/16V/00047443,"Pronájem ledové plochy-zimního stadionu - říjen 2016.",2016-12-15 07:56:00.14,2016-12-15 00:00:00,9391.00,"HC Olomouc s.r.o.",25849123
T004/16V/00047445,"Pronájem ledové plochy-zimního stadionu-listopad 2016.",2016-12-15 08:08:50.969,2016-12-15 00:00:00,11739.00,"HC Olomouc s.r.o.",25849123
T004/16V/00047460,"RS - Servis, opravy a pneu práce na vozidlech ŠKODA a vybraných typech v období od 11/2016-10/2017.",2016-12-15 09:17:39.785,2016-12-15 00:00:00,1308.00,"BestCarServis s.r.o.",4967968
T004/16V/00047490,"RS - Servis, opravy a pneu práce na vozidlech ŠKODA a vybraných typech v období od 11/2016-10/2017.",2016-12-15 10:55:01.171,2016-12-15 00:00:00,832.70,"BestCarServis s.r.o.",4967968
T004/16V/00047495,"RS - Zabezpečení oprav, servisních prohlídek, ME a STK, pneu prací na vozidlech Š-Fabia a Š-Octavia.",2016-12-15 11:06:23.474,2016-12-15 00:00:00,9770.30,"Pavel ŠKUBNÍK",71650768
T004/16V/00047300,"2016-17 Praní a chem. čištění 23. dp",2016-12-14 07:06:09.647,2016-12-15 00:00:00,6493.52,"PRVNÍ CHRÁNĚNÁ DÍLNA s.r.o.",28685521
T004/16V/00044583,"Nákup zdravotnického materiálu",2016-11-23 13:53:18.568,2016-12-15 00:00:00,88556.00,"Martin Bergl",42478430
T004/16V/00044857,"Nákup kuchyňského zařízení",2016-11-25 08:45:07.765,2016-12-15 00:00:00,42195.50,"T.C.I.Investment s.r.o.",25257421
T004/16V/00047499,"Nákup PHM prostřednictvím odběrových karet",2016-12-15 11:44:54.212,2016-12-15 00:00:00,3306.00,"CCS Česká společnost pro platební karty s.r.o.",27916693
T004/16V/00033198,"Blůzy a pláště pro hudebníky",2016-09-14 13:24:57.562,2016-12-15 00:00:00,1845264.00,"Koutný spol. s r.o.",60750197
T004/16V/00047764,"RS-Laboratorní veterinární vyšetření u SVÚ od 1.1.-31.12.2016.",2016-12-19 12:12:30.185,2016-12-15 00:00:00,4800.00,"STÁTNÍ VETERINÁRNÍ ÚSTAV JIHLAVA",13691554
T004/16V/00046464,"PS 0014 Havárie - oprava dešťového svodu na objektu MO/A, nám. Svobody 471/4, Praha 6.",2016-12-07 10:29:57.245,2016-12-15 00:00:00,28744.00,"OPREKO, s.r.o.",49789791
T004/16V/00048161,"DP č. 2 k RD RS00009034 - oprava OMS UNIVERSAL v.č. 2006Q062",2016-12-27 09:27:06.162,2016-12-15 00:00:00,7603.00,"Milan Hanzlíček",47318643
T004/16V/00038274,"PN k č. T004/16V00034699 PBTK přístrojů RTG",2016-10-14 13:54:19.213,2016-12-15 00:00:00,111000.00,"UNIPRO - ALPHA C.S., spol. s r.o.",26435357
T004/16V/00044058,"RD - Nákup drogistického zboží",2016-11-21 10:15:21.998,2016-12-14 00:00:00,72914.25,,
T004/16V/00045335,"Nákup síťových prvků ",2016-11-29 12:52:38.566,2016-12-14 00:00:00,38288.00,"K-net Technical International Group, s.r.o.",47916745
T004/16V/00044799,"RS Nákup PHM prostřednictvím odběrových karet",2016-11-24 14:40:46.544,2016-12-14 00:00:00,0.00,,
T004/16V/00045866,"Nákup čerpadla s průtokoměrem na AD Blue",2016-12-02 12:16:04.588,2016-12-14 00:00:00,13890.00,"JP STROJE s.r.o.",26367025
T004/16V/00046845,"DP - dílčí plnění - plastové nádobí - do 30.12.2016 - prosinec III",2016-12-09 11:09:44.564,2016-12-14 00:00:00,11302.31,"BALMAT s.r.o.",26257483
T004/16V/00044557,"Nákup hasících přístrojů",2016-11-23 12:34:54.86,2016-12-14 00:00:00,23960.00,"ČERVINKA - CZECH REPUBLIC s.r.o.",25510622
T004/16V/00044801,"DS 2017 - Servisní služby v roce 2017",2016-11-24 14:55:21.646,2016-12-14 00:00:00,89.00,,
T004/16V/00044738,"PS 0624 - Oprava elektroinstalace VZK 2000, HTT 135 - II.",2016-11-24 11:24:36.002,2016-12-14 00:00:00,215203.75,"ELEKTRO ŠUDOMA, s.r.o.",27497046
T004/16V/00044066,"Nákup posilovacích strojů a fitness nářadí",2016-11-21 10:32:48.053,2016-12-14 00:00:00,436200.00,"H sport spol. s r.o.",25509110
T004/16V/00042263,"  Nákup elektrospotřebičů",2016-11-08 06:08:20.24,2016-12-14 00:00:00,11553.15,"ELSTORE CZ s.r.o.",28782046
T004/16V/00047197,"Výzva prosinec 2016 stravovací poukázky ",2016-12-13 10:26:45.152,2016-12-14 00:00:00,63636.00,"Le Cheque Déjeuner s.r.o.",62913671
T004/16V/00047198,"Výzva prosinec 2016 karty PHM ",2016-12-13 10:30:52.559,2016-12-14 00:00:00,128099.00,"CCS Česká společnost pro platební karty s.r.o.",27916693
T004/16V/00047201,"Výzva prosinec 2016 stravování příslušníků VZ 6848",2016-12-13 10:34:22.829,2016-12-14 00:00:00,49586.00,"Monika Klementová",2470471
T004/16V/00045549,"Upgrade CAD-systému  Solid Works ",2016-11-30 13:34:26.811,2016-12-14 00:00:00,19200.00,"3 E Praha Engineering, a.s.",169277
T004/16V/00046477,"Podpora k počítačovému programu Comsol Multiphysics",2016-12-07 11:08:43.388,2016-12-14 00:00:00,336800.00,"HUMUSOFT s.r.o.",40525872
T004/16V/00047295,"Objednávka č. 16 - k RS Praní a chemické čištění  vojenské výstroje",2016-12-14 06:55:05.539,2016-12-14 00:00:00,368.40,"PRAVO s.r.o.",28142292
T004/16V/00047162,"Plnění z RSoD č.8/46/23/2016-1373, obj.423, Servis Peugeot Prostějov",2016-12-13 08:02:07.975,2016-12-14 00:00:00,7599.17,"Artcom Group",25845187
T004/16V/00044864,"JN - Nákup krycích ""špricdek"" HIKO Rapid Light",2016-11-25 08:58:54.619,2016-12-14 00:00:00,39447.10,"HIKO Sport s.r.o.",25059262
T004/16V/00047317,"RS - Svoz, praní a čištění prádla pro VZ 6848 Hlučín v období od 1.1.-31.12.2016. ",2016-12-14 08:29:31.405,2016-12-14 00:00:00,1746.90,"AD 7, spol. s r.o.",25598074
T004/16V/00045818,"Zdroj  Keysight E3634A",2016-12-02 09:12:52.589,2016-12-14 00:00:00,61978.75,"H TEST a.s.",25784480
T004/16V/00045085,"Nákup stojanu pro LCD monitor pro projekt SV UO",2016-11-28 10:40:00.565,2016-12-14 00:00:00,19801.64,"Michal Souček",47517611
T004/16V/00045086,"Nákup přenosného projektoru",2016-11-28 10:40:08.572,2016-12-14 00:00:00,12397.00,"APPI CZ",24151505
T004/16V/00045304,"Nákup služby – poskytnutí palivových odběrových karet na pohonné hmoty s následným nákupem pohonných hmot u civilních čerpacích stanic v roce 2017",2016-11-29 11:03:42.138,2016-12-14 00:00:00,501.00,"CCS Česká společnost pro platební karty s.r.o.",27916693
T004/16V/00047331," DP Učební praxe  žáků a praktická elektrotechnická měření  2016 č.2",2016-12-14 09:44:07.136,2016-12-14 00:00:00,226431.30,"Střední odborná škola a Střední odborné učiliště Lanškroun",15028216
T004/16V/00044352,"RD - nákup stravovacích poukázek na rok 2017 pro VZ 6848/05 Praha",2016-11-22 12:23:16.18,2016-12-14 00:00:00,67200.00,"Edenred CZ s.r.o.",24745391
T004/16V/00047318,"Plnění z RD - Servis a opravy komunální a zemědělské techniky obj.č. 425/2016",2016-12-14 08:31:52.46,2016-12-14 00:00:00,1100.00,"AGROMAK ND s.r.o.",49824309
T004/16V/00044349,"Airsoftové zbraně",2016-11-22 12:07:19.323,2016-12-14 00:00:00,84000.00,"Martin Bergl",42478430
